,dia,hora,AOD,n,null,tipo
90,31/7/2015,17:55:00,NA,1,1,MOD
585,1/8/2015,20:05:00,NA,4,4,MYD
92,1/8/2015,17:00:00,NA,2,2,MOD
96,2/8/2015,17:40:00,NA,1,1,MOD
590,3/8/2015,19:50:00,NA,4,4,MYD
98,3/8/2015,16:45:00,NA,2,2,MOD
594,4/8/2015,20:35:00,NA,2,2,MYD
101,4/8/2015,17:30:00,NA,3,3,MOD
596,5/8/2015,19:40:00,NA,1,1,MYD
103,5/8/2015,16:35:00,NA,3,3,MOD
599,6/8/2015,20:20:00,NA,3,3,MYD
106,6/8/2015,17:15:00,0.4385,4,2,MOD
601,7/8/2015,19:25:00,NA,1,1,MYD
605,8/8/2015,20:10:00,NA,3,3,MYD
111,8/8/2015,17:05:00,NA,2,2,MOD
607,9/8/2015,19:15:00,NA,2,2,MYD
610,10/8/2015,19:55:00,NA,4,4,MYD
117,10/8/2015,16:50:00,0.563,1,0,MOD
121,11/8/2015,17:35:00,NA,3,3,MOD
615,12/8/2015,19:45:00,NA,3,3,MYD
122,12/8/2015,16:40:00,NA,1,1,MOD
619,13/8/2015,20:30:00,NA,3,3,MYD
125,13/8/2015,17:20:00,NA,4,4,MOD
621,14/8/2015,19:35:00,NA,2,2,MYD
624,15/8/2015,20:15:00,NA,4,4,MYD
131,15/8/2015,17:10:00,NA,3,3,MOD
626,16/8/2015,19:20:00,NA,2,2,MYD
630,17/8/2015,20:05:00,NA,4,4,MYD
137,17/8/2015,17:00:00,NA,3,3,MOD
141,18/8/2015,17:40:00,NA,2,2,MOD
634,19/8/2015,19:50:00,NA,4,4,MYD
638,20/8/2015,20:35:00,NA,1,1,MYD
147,20/8/2015,17:30:00,0.67,3,2,MOD
640,21/8/2015,19:40:00,NA,1,1,MYD
643,22/8/2015,20:20:00,NA,2,2,MYD
152,22/8/2015,17:15:00,NA,3,3,MOD
645,23/8/2015,19:25:00,NA,3,3,MYD
156,23/8/2015,18:00:00,NA,2,2,MOD
649,24/8/2015,20:10:00,NA,4,4,MYD
157,24/8/2015,17:05:00,NA,4,4,MOD
651,25/8/2015,19:15:00,NA,2,2,MYD
161,25/8/2015,17:45:00,NA,3,3,MOD
654,26/8/2015,19:55:00,NA,4,4,MYD
163,26/8/2015,16:50:00,NA,2,2,MOD
167,27/8/2015,17:35:00,NA,4,4,MOD
659,28/8/2015,19:45:00,NA,4,4,MYD
168,28/8/2015,16:40:00,NA,2,2,MOD
171,29/8/2015,17:20:00,NA,4,4,MOD
665,30/8/2015,19:35:00,NA,1,1,MYD
668,31/8/2015,20:15:00,NA,2,2,MYD
177,31/8/2015,17:10:00,NA,4,4,MOD
670,1/9/2015,19:20:00,NA,1,1,MYD
180,1/9/2015,17:50:00,NA,3,3,MOD
674,2/9/2015,20:05:00,NA,4,4,MYD
182,2/9/2015,16:55:00,NA,2,2,MOD
187,3/9/2015,17:40:00,NA,2,2,MOD
678,4/9/2015,19:50:00,NA,4,4,MYD
189,4/9/2015,16:45:00,NA,2,2,MOD
683,5/9/2015,20:35:00,NA,3,3,MYD
193,5/9/2015,17:30:00,NA,3,3,MOD
685,6/9/2015,19:40:00,NA,4,4,MYD
195,6/9/2015,16:35:00,NA,2,2,MOD
688,7/9/2015,20:20:00,NA,1,1,MYD
198,7/9/2015,17:15:00,0.798,4,3,MOD
690,8/9/2015,19:25:00,NA,3,3,MYD
694,9/9/2015,20:10:00,NA,2,2,MYD
204,9/9/2015,17:05:00,NA,3,3,MOD
696,10/9/2015,19:15:00,NA,2,2,MYD
208,10/9/2015,17:45:00,NA,2,2,MOD
699,11/9/2015,19:55:00,NA,3,3,MYD
210,11/9/2015,16:50:00,NA,3,3,MOD
214,12/9/2015,17:35:00,NA,3,3,MOD
215,13/9/2015,16:40:00,NA,2,2,MOD
707,14/9/2015,20:30:00,NA,1,1,MYD
218,14/9/2015,17:20:00,NA,3,3,MOD
709,15/9/2015,19:35:00,NA,1,1,MYD
712,16/9/2015,20:15:00,NA,2,2,MYD
224,16/9/2015,17:10:00,NA,4,4,MOD
714,17/9/2015,19:20:00,NA,3,3,MYD
227,17/9/2015,17:50:00,NA,2,2,MOD
718,18/9/2015,20:05:00,NA,3,3,MYD
229,18/9/2015,16:55:00,NA,2,2,MOD
234,19/9/2015,17:40:00,NA,1,1,MOD
722,20/9/2015,19:50:00,NA,4,4,MYD
236,20/9/2015,16:45:00,NA,3,3,MOD
727,21/9/2015,20:35:00,NA,2,2,MYD
239,21/9/2015,17:30:00,NA,2,2,MOD
729,22/9/2015,19:40:00,NA,3,3,MYD
732,23/9/2015,20:20:00,0.393,2,1,MYD
244,23/9/2015,17:15:00,0.3565,4,2,MOD
734,24/9/2015,19:25:00,NA,2,2,MYD
248,24/9/2015,18:00:00,NA,2,2,MOD
738,25/9/2015,20:10:00,NA,4,4,MYD
250,25/9/2015,17:05:00,NA,5,5,MOD
740,26/9/2015,19:15:00,NA,2,2,MYD
254,26/9/2015,17:45:00,NA,2,2,MOD
743,27/9/2015,19:55:00,NA,4,4,MYD
256,27/9/2015,16:50:00,NA,3,3,MOD
261,28/9/2015,17:35:00,NA,3,3,MOD
749,29/9/2015,19:45:00,NA,4,4,MYD
263,29/9/2015,16:40:00,NA,1,1,MOD
753,30/9/2015,20:30:00,NA,1,1,MYD
266,30/9/2015,17:20:00,NA,3,3,MOD
755,1/10/2015,19:35:00,NA,2,2,MYD
757,2/10/2015,20:15:00,NA,2,2,MYD
271,2/10/2015,17:10:00,NA,3,3,MOD
759,3/10/2015,19:20:00,0.29233,3,0,MYD
275,3/10/2015,17:50:00,0.205,2,0,MOD
763,4/10/2015,20:05:00,0.8085,4,0,MYD
277,4/10/2015,16:55:00,0.722,2,1,MOD
282,5/10/2015,17:40:00,NA,1,1,MOD
767,6/10/2015,19:50:00,0.34433,4,1,MYD
284,6/10/2015,16:45:00,0.332,2,1,MOD
772,7/10/2015,20:35:00,NA,3,3,MYD
287,7/10/2015,17:25:00,0.4495,3,1,MOD
774,8/10/2015,19:40:00,0.451,3,2,MYD
777,9/10/2015,20:20:00,NA,2,2,MYD
293,9/10/2015,17:15:00,NA,4,4,MOD
779,10/10/2015,19:25:00,0.152,1,0,MYD
296,10/10/2015,18:00:00,0.158,1,0,MOD
783,11/10/2015,20:10:00,NA,2,2,MYD
298,11/10/2015,17:05:00,NA,2,2,MOD
785,12/10/2015,19:15:00,NA,1,1,MYD
302,12/10/2015,17:45:00,NA,2,2,MOD
788,13/10/2015,19:55:00,NA,4,4,MYD
303,13/10/2015,16:50:00,NA,1,1,MOD
308,14/10/2015,17:35:00,NA,4,4,MOD
794,15/10/2015,19:45:00,NA,4,4,MYD
90,15/10/2015,16:40:00,NA,2,2,MOD
798,16/10/2015,20:30:00,NA,2,2,MYD
92,16/10/2015,17:20:00,NA,4,4,MOD
800,17/10/2015,19:35:00,NA,2,2,MYD
802,18/10/2015,20:15:00,NA,5,5,MYD
315,18/10/2015,17:10:00,NA,4,4,MOD
804,19/10/2015,19:20:00,NA,2,2,MYD
318,19/10/2015,17:50:00,NA,1,1,MOD
808,20/10/2015,20:05:00,0.384,4,3,MYD
320,20/10/2015,16:55:00,0.5645,3,1,MOD
325,21/10/2015,17:40:00,NA,2,2,MOD
812,22/10/2015,19:50:00,NA,3,3,MYD
327,22/10/2015,16:45:00,NA,3,3,MOD
330,23/10/2015,17:30:00,NA,2,2,MOD
819,24/10/2015,19:40:00,NA,4,4,MYD
331,24/10/2015,16:30:00,NA,1,1,MOD
